id,characteristic_id,review_id,value
189,66,51,1
190,63,52,5
191,64,52,3
192,65,52,3
193,66,52,5
194,63,53,3
195,64,53,2
196,65,53,3
197,66,53,4
198,67,54,4
199,68,54,3
200,69,54,3
201,70,54,5
202,67,55,3
203,68,55,5
204,69,55,1
205,70,55,2
206,67,56,2
207,68,56,4
208,69,56,4
209,70,56,2
210,67,57,1
211,68,57,3
212,69,57,5
213,70,57,2
214,67,58,5
215,68,58,3
216,69,58,3
217,70,58,2
218,71,59,2
219,72,59,1
220,73,59,5
221,74,59,4
222,71,60,1
223,72,60,2
224,73,60,2
225,74,60,5
226,71,61,1
227,72,61,3
228,73,61,5
229,74,61,1
230,71,62,5
231,72,62,2
232,73,62,4
233,74,62,2
234,71,63,4
235,72,63,1
236,73,63,5
237,74,63,4
238,71,64,5
239,72,64,5
240,73,64,4
241,74,64,5
242,71,65,4
243,72,65,4
244,73,65,3
245,74,65,4
246,71,66,2
247,72,66,5
248,73,66,4
249,74,66,5
250,75,67,2
251,76,67,3
252,77,67,5
253,78,67,5
254,75,68,1
255,76,68,3
256,77,68,3
257,78,68,5
258,75,69,5
259,76,69,2
260,77,69,2
261,78,69,5
262,75,70,2
263,76,70,5
264,77,70,1
265,78,70,5
266,75,71,1
267,76,71,1
268,77,71,5
269,78,71,2
270,75,72,3
271,76,72,1
272,77,72,4
273,78,72,4
274,79,73,5
275,79,74,5
276,80,75,3
277,81,75,5
278,82,75,2
279,83,75,3
280,80,76,2
281,81,76,2
282,82,76,4
283,83,76,1
284,80,77,4
285,81,77,1
286,82,77,1
287,83,77,3
288,80,78,5
289,81,78,5
290,82,78,2
291,83,78,3
292,84,79,1
293,85,79,5
294,86,79,4
295,87,79,2
296,84,80,3
297,85,80,2
298,86,80,3
299,87,80,5
300,84,81,3
301,85,81,5
302,86,81,3
303,87,81,4
304,84,82,2
305,85,82,2
306,86,82,5
307,87,82,4
308,84,83,3
309,85,83,3
310,86,83,2
311,87,83,4
312,84,84,1
313,85,84,1
314,86,84,3
315,87,84,4
316,84,85,4
317,85,85,2
318,86,85,3
319,87,85,2
320,84,86,2
321,85,86,2
322,86,86,2
323,87,86,2
324,84,87,5
325,85,87,3
326,86,87,1
327,87,87,1
328,84,88,4
329,85,88,1
330,86,88,3
331,87,88,2
332,84,89,2
333,85,89,5
334,86,89,4
335,87,89,4
336,84,90,1
337,85,90,3
338,86,90,4
339,87,90,1
340,84,91,4
341,85,91,2
342,86,91,1
343,87,91,2
344,84,92,3
345,85,92,3
346,86,92,3
347,87,92,5
348,84,93,5
349,85,93,2
350,86,93,2
351,87,93,2
352,88,94,4
353,89,94,5
354,90,94,2
355,91,94,1
356,88,95,3
357,89,95,2
358,90,95,1
359,91,95,3
360,88,96,2
361,89,96,3
362,90,96,5
363,91,96,5
364,88,97,1
365,89,97,4
366,90,97,1
367,91,97,5
368,88,98,5
369,89,98,3
370,90,98,2
371,91,98,2
372,88,99,5
373,89,99,2
374,90,99,1
375,91,99,2
376,88,100,1
377,89,100,2
378,90,100,1
379,91,100,5
380,88,101,1
381,89,101,3
382,90,101,3
383,91,101,2
384,92,102,2
385,93,102,5
386,94,102,2
387,95,102,3
388,92,103,4
389,93,103,4
390,94,103,4
391,95,103,3
392,92,104,2
393,93,104,5
394,94,104,4
395,95,104,5
396,92,105,3
397,93,105,4
398,94,105,2
399,95,105,4
400,92,106,2
401,93,106,5
402,94,106,3
403,95,106,2
404,96,107,2
405,97,107,3
406,98,107,5
407,99,107,5
408,96,108,3
409,97,108,5
410,98,108,5
411,99,108,2
412,96,109,1
413,97,109,2
414,98,109,2
415,99,109,1
416,96,110,4
417,97,110,3
418,98,110,5
419,99,110,5
420,96,111,4
421,97,111,1
422,98,111,2
423,99,111,3
424,96,112,4
425,97,112,5
426,98,112,2
427,99,112,4
428,96,113,1
429,97,113,5
430,98,113,2
431,99,113,1
432,96,114,3
433,97,114,1
434,98,114,3
435,99,114,5
436,96,115,2
437,97,115,2
438,98,115,5
439,99,115,3
440,96,116,4
441,97,116,3
442,98,116,2
443,99,116,5
444,100,117,1
445,101,117,4
446,102,117,4
447,103,117,5
448,100,118,3
449,101,118,1
450,102,118,1
451,103,118,2
452,100,119,5
453,101,119,4
454,102,119,3
455,103,119,2
456,100,120,3
457,101,120,5
458,102,120,3
459,103,120,2
460,100,121,4
461,101,121,2
462,102,121,1
463,103,121,4
464,100,122,5
465,101,122,4
466,102,122,1
467,103,122,5
468,104,123,2
469,105,123,3
470,106,123,1
471,107,123,5
472,104,124,1
473,105,124,2
474,106,124,1
475,107,124,5
476,108,125,4
477,109,125,1
478,110,125,3
479,111,125,5
480,108,126,3
481,109,126,4
482,110,126,1
483,111,126,3
484,108,127,1
485,109,127,2
486,110,127,1
487,111,127,1
488,108,128,3
489,109,128,1
490,110,128,2
491,111,128,3
492,108,129,2
493,109,129,2
494,110,129,4
495,111,129,4
496,108,130,3
497,109,130,5
498,110,130,5
499,111,130,3
500,108,131,1
501,109,131,1
502,110,131,4
503,111,131,3
504,108,132,4
505,109,132,1
506,110,132,5
507,111,132,1
508,108,133,2
509,109,133,1
510,110,133,1
511,111,133,3
512,108,134,2
513,109,134,1
514,110,134,5
515,111,134,1
516,108,135,2
517,109,135,1
518,110,135,5
519,111,135,1
520,116,136,4
521,117,136,1
522,118,136,2
523,119,136,4
524,116,137,4
525,117,137,3
526,118,137,4
527,119,137,3
528,116,138,5
529,117,138,2
530,118,138,2
531,119,138,3
532,120,139,3
533,120,140,3
534,120,141,5
535,120,142,1
536,120,143,3
537,120,144,5
538,121,145,4
539,122,145,3
540,123,145,5
541,124,145,3
542,121,146,4
543,122,146,2
544,123,146,5
545,124,146,2
546,121,147,2
547,122,147,2
548,123,147,1
549,124,147,5
550,121,148,3
551,122,148,3
552,123,148,2
553,124,148,5
554,125,149,2
555,126,149,5
556,127,149,1
557,128,149,4
558,125,150,4
559,126,150,3
560,127,150,1
561,128,150,2
562,125,151,1
563,126,151,2
564,127,151,1
565,128,151,1
566,125,152,5
567,126,152,2
568,127,152,1
569,128,152,5
570,125,153,2
571,126,153,4
572,127,153,3
573,128,153,2
574,125,154,1
575,126,154,5
576,127,154,5
577,128,154,5
578,125,155,4
579,126,155,1
580,127,155,5
581,128,155,4
582,125,156,5
583,126,156,4
584,127,156,1
585,128,156,3
586,125,157,3
587,126,157,2
588,127,157,1
589,128,157,2
590,125,158,5
591,126,158,1
592,127,158,2
593,128,158,3
594,129,159,5
595,129,160,3
596,129,161,5
597,129,162,2
598,129,163,2
599,129,164,1
600,129,165,4
601,130,166,5
602,131,166,3
603,132,166,1
604,133,166,4
605,130,167,2
606,131,167,3
607,132,167,2
608,133,167,3
609,130,168,5
610,131,168,2
611,132,168,1
612,133,168,1
613,130,169,2
614,131,169,1
615,132,169,5
616,133,169,1
617,134,170,5
618,135,170,1
619,136,170,1
620,137,170,5
621,134,171,3
622,135,171,4
623,136,171,1
624,137,171,5
625,134,172,3
626,135,172,3
627,136,172,2
628,137,172,5
629,134,173,2
630,135,173,1
631,136,173,2
632,137,173,3
633,134,174,1
634,135,174,3
635,136,174,1
636,137,174,3
637,134,175,1
638,135,175,2
639,136,175,2
640,137,175,1
641,134,176,4
642,135,176,2
643,136,176,1
644,137,176,4
645,134,177,2
646,135,177,4
647,136,177,2
648,137,177,2
649,134,178,2
650,135,178,1
651,136,178,1
652,137,178,5
653,134,179,5
654,135,179,5
655,136,179,4
656,137,179,4
657,134,180,4
658,135,180,4
659,136,180,1
660,137,180,1
661,134,181,2
662,135,181,3
663,136,181,5
664,137,181,5
665,134,182,2
666,135,182,2
667,136,182,4
668,137,182,2
669,134,183,2
670,135,183,2
671,136,183,5
672,137,183,4
673,134,184,1
674,135,184,5
675,136,184,4
676,137,184,5
677,138,185,5
678,139,185,4
679,140,185,4
680,141,185,3
681,142,186,2
682,143,186,3
683,144,186,4
684,145,186,3
685,142,187,2
686,143,187,3
687,144,187,4
688,145,187,4
689,142,188,5
690,143,188,2
691,144,188,2
692,145,188,5
693,142,189,4
694,143,189,4
695,144,189,2
696,145,189,4
697,142,190,1
698,143,190,1
699,144,190,1
700,145,190,5
701,142,191,1
702,143,191,5
703,144,191,2
704,145,191,4
705,142,192,1
706,143,192,3
707,144,192,2
708,145,192,5
709,142,193,3
710,143,193,5
711,144,193,1
712,145,193,2
713,142,194,1
714,143,194,4
715,144,194,4
716,145,194,5
717,142,195,3
718,143,195,3
719,144,195,4
720,145,195,5
721,142,196,3
722,143,196,1
723,144,196,4
724,145,196,4
725,142,197,4
726,143,197,5
727,144,197,2
728,145,197,2
729,142,198,1
730,143,198,4
731,144,198,1
732,145,198,1
733,142,199,5
734,143,199,1
735,144,199,4
736,145,199,3
